,country_code,amount,dataset
0,AT,5,IGG
1,BE,7,IGG
2,BG,4,IGG
3,CH,2,IGG
4,CZ,2,IGG
5,DE,18,IGG
6,DK,1,IGG
7,EE,3,IGG
8,ES,5,IGG
9,FI,1,IGG
10,FR,5,IGG
11,HR,2,IGG
12,HU,3,IGG
13,IE,1,IGG
14,IT,7,IGG
15,LT,5,IGG
16,LU,2,IGG
17,LV,1,IGG
18,NL,8,IGG
19,PL,4,IGG
20,PT,3,IGG
21,RO,5,IGG
22,SI,5,IGG
23,AT,5,INET_Filled
24,BE,7,INET_Filled
25,BG,4,INET_Filled
26,CH,2,INET_Filled
27,CZ,2,INET_Filled
28,DE,18,INET_Filled
29,DK,1,INET_Filled
30,EE,3,INET_Filled
31,ES,5,INET_Filled
32,FI,1,INET_Filled
33,FR,5,INET_Filled
34,HR,2,INET_Filled
35,HU,3,INET_Filled
36,IE,1,INET_Filled
37,IT,7,INET_Filled
38,LT,5,INET_Filled
39,LU,2,INET_Filled
40,LV,1,INET_Filled
41,NL,8,INET_Filled
42,PL,4,INET_Filled
43,PT,3,INET_Filled
44,RO,5,INET_Filled
45,SI,2,INET_Filled
46,SK,3,INET_Filled
47,AT,5,INET_Raw
48,BE,7,INET_Raw
49,BG,4,INET_Raw
50,CH,2,INET_Raw
51,CZ,2,INET_Raw
52,DE,18,INET_Raw
53,DK,1,INET_Raw
54,EE,3,INET_Raw
55,ES,5,INET_Raw
56,FI,1,INET_Raw
57,FR,5,INET_Raw
58,HR,2,INET_Raw
59,HU,3,INET_Raw
60,IE,1,INET_Raw
61,IT,7,INET_Raw
62,LT,5,INET_Raw
63,LU,2,INET_Raw
64,LV,1,INET_Raw
65,NL,8,INET_Raw
66,PL,4,INET_Raw
67,PT,3,INET_Raw
68,RO,5,INET_Raw
69,SI,2,INET_Raw
70,SK,3,INET_Raw
