,country_code,amount,max_cap_store2pipe_M_m3_per_d,max_workingGas_M_m3,median_cap_store2pipe_M_m3_per_d,dataset
0,BE,1,41.906288298,223.088,41.906288298,GIE_Raw
1,ES,6,182.5775431224,1932.2632800000001,180.1357593948,GIE_Raw
2,FR,4,118.8743282676,800.0799999999999,118.1012538828,GIE_Raw
3,IT,3,48.524559250799996,249.46143999999998,48.505703778,GIE_Raw
4,LT,1,11.831809182,97.56888,11.831809182,GIE_Raw
5,NL,1,43.461864804,315.36,43.461864804,GIE_Raw
6,PL,1,15.348354859200002,186.88,15.348354859200002,GIE_Raw
7,PT,1,18.8554728,227.76000000000002,18.1766757792,GIE_Raw
8,BE,1,41.906288298,223.088,41.906288298,IGG
9,EE,2,17.80821917808219,107.032016,19.127725807758885,IGG
10,ES,7,201.75562531418083,2128.0078160000003,199.41802306511653,IGG
11,FI,1,7.398193159761888,18.607992000000003,9.038962940431045,IGG
12,FR,4,118.8743282676,800.08,118.10125388280001,IGG
13,IT,3,48.5245592508,249.46144,48.505703778000004,IGG
14,LT,1,11.831809182,97.56888,11.831809182,IGG
15,LV,1,13.698630136986301,125.0379742631149,14.099116594883405,IGG
16,NL,1,43.461864804,315.36,43.461864804,IGG
17,PL,1,15.348354859200002,186.88,15.348354859200002,IGG
18,PT,1,18.8554728,227.76000000000002,18.1766757792,IGG
19,SE,1,7.667711885127829,21.492952000000002,9.299162087068837,IGG
20,BE,1,32.87671232876713,365.52443200000005,no_info,INET_Filled
21,EE,2,17.80821917808219,107.032016,no_info,INET_Filled
22,ES,7,188.7671232876712,2433.752256,no_info,INET_Filled
23,FI,1,4.068568920124264,18.607992000000003,no_info,INET_Filled
24,FR,4,117.53424657534248,1086.764432,no_info,INET_Filled
25,IT,3,41.78082191780822,316.480112,no_info,INET_Filled
26,LT,1,10.95890410958904,110.92671200000001,no_info,INET_Filled
27,LV,1,13.698630136986301,156.2708331323528,no_info,INET_Filled
28,NL,1,43.83561643835616,469.959984,no_info,INET_Filled
29,PL,1,20.54794520547945,313.30665600000003,no_info,INET_Filled
30,PT,1,20.82191780821918,254.59772,no_info,INET_Filled
31,SE,1,4.318560187297116,21.492952000000002,no_info,INET_Filled
32,BE,1,32.87671232876713,365.52443200000005,no_info,INET_Raw
33,EE,2,17.80821917808219,107.032016,no_info,INET_Raw
34,ES,7,188.7671232876712,2433.752256,no_info,INET_Raw
35,FI,1,0.0,18.607992000000003,no_info,INET_Raw
36,FR,4,117.53424657534248,1086.764432,no_info,INET_Raw
37,IT,3,41.78082191780822,316.480112,no_info,INET_Raw
38,LT,1,10.95890410958904,110.92671200000001,no_info,INET_Raw
39,LV,1,13.698630136986301,0.0,no_info,INET_Raw
40,MT,1,1.643835616438356,81.644368,no_info,INET_Raw
41,NL,1,43.83561643835616,469.959984,no_info,INET_Raw
42,PL,1,20.54794520547945,313.30665600000003,no_info,INET_Raw
43,PT,1,20.82191780821918,254.59772,no_info,INET_Raw
44,SE,3,1.36986301369863,47.457592000000005,no_info,INET_Raw
