,start,end,amount,max_cap_M_m3_per_d,dataset
0,AT,DE,4,3.0,EMAP_Raw
1,AT,HR,3,3.0,EMAP_Raw
2,AT,LI,1,0.0,EMAP_Raw
3,AT,SK,3,2.0,EMAP_Raw
4,BE,DE,4,2.0,EMAP_Raw
5,BE,FR,7,6.0,EMAP_Raw
6,BE,NL,6,4.0,EMAP_Raw
7,BE,XX,2,0.0,EMAP_Raw
8,BG,GR,1,1.0,EMAP_Raw
9,BG,RO,2,2.0,EMAP_Raw
10,BG,TR,1,1.0,EMAP_Raw
11,BY,LT,2,1.0,EMAP_Raw
12,BY,PL,4,2.0,EMAP_Raw
13,CH,DE,1,1.0,EMAP_Raw
14,CH,FR,2,2.0,EMAP_Raw
15,CZ,DE,1,1.0,EMAP_Raw
16,CZ,PL,2,2.0,EMAP_Raw
17,CZ,SK,1,1.0,EMAP_Raw
18,DE,AT,3,3.0,EMAP_Raw
19,DE,CH,4,4.0,EMAP_Raw
20,DE,FR,13,11.0,EMAP_Raw
21,DE,IT,1,0.0,EMAP_Raw
22,DE,NL,11,6.0,EMAP_Raw
23,DE,PL,3,3.0,EMAP_Raw
24,DE,XX,3,1.0,EMAP_Raw
25,DK,SE,1,1.0,EMAP_Raw
26,DK,XX,3,1.0,EMAP_Raw
27,ES,FR,2,2.0,EMAP_Raw
28,ES,PT,1,1.0,EMAP_Raw
29,ES,XX,5,5.0,EMAP_Raw
30,FR,BE,8,5.0,EMAP_Raw
31,FR,DE,11,10.0,EMAP_Raw
32,FR,ES,4,4.0,EMAP_Raw
33,GB,IE,3,2.0,EMAP_Raw
34,HR,AT,1,1.0,EMAP_Raw
35,HR,HU,2,2.0,EMAP_Raw
36,HR,RS,2,2.0,EMAP_Raw
37,HU,AT,1,1.0,EMAP_Raw
38,HU,HR,6,6.0,EMAP_Raw
39,HU,RO,2,1.0,EMAP_Raw
40,HU,RS,2,2.0,EMAP_Raw
41,HU,SK,3,3.0,EMAP_Raw
42,IE,GB,3,2.0,EMAP_Raw
43,IE,XX,2,1.0,EMAP_Raw
44,IT,AT,1,0.0,EMAP_Raw
45,IT,FR,1,1.0,EMAP_Raw
46,IT,HR,1,1.0,EMAP_Raw
47,IT,SI,1,1.0,EMAP_Raw
48,IT,XX,13,9.0,EMAP_Raw
49,LT,BY,1,1.0,EMAP_Raw
50,LV,EE,2,2.0,EMAP_Raw
51,LV,LT,2,2.0,EMAP_Raw
52,MD,RO,1,0.0,EMAP_Raw
53,MK,BG,1,1.0,EMAP_Raw
54,NL,BE,3,1.0,EMAP_Raw
55,NL,DE,10,4.0,EMAP_Raw
56,NL,XX,3,0.0,EMAP_Raw
57,NO,XX,2,0.0,EMAP_Raw
58,PL,BY,4,1.0,EMAP_Raw
59,PL,CZ,2,2.0,EMAP_Raw
60,PL,DE,7,6.0,EMAP_Raw
61,PL,UA,1,0.0,EMAP_Raw
62,PT,ES,2,2.0,EMAP_Raw
63,RO,BG,2,1.0,EMAP_Raw
64,RO,HU,2,2.0,EMAP_Raw
65,RO,UA,2,0.0,EMAP_Raw
66,RS,HR,1,1.0,EMAP_Raw
67,RS,HU,1,1.0,EMAP_Raw
68,SE,DK,1,1.0,EMAP_Raw
69,SE,XX,3,3.0,EMAP_Raw
70,SI,HR,1,1.0,EMAP_Raw
71,SI,IT,1,1.0,EMAP_Raw
72,SK,CZ,1,1.0,EMAP_Raw
73,SK,HU,4,3.0,EMAP_Raw
74,SK,UA,1,1.0,EMAP_Raw
75,UA,PL,2,0.0,EMAP_Raw
76,XX,BE,1,0.0,EMAP_Raw
77,XX,BG,1,1.0,EMAP_Raw
78,XX,CY,2,0.0,EMAP_Raw
79,XX,DE,2,0.0,EMAP_Raw
80,XX,DK,2,2.0,EMAP_Raw
81,XX,ES,3,3.0,EMAP_Raw
82,XX,IE,3,2.0,EMAP_Raw
83,XX,IT,13,10.0,EMAP_Raw
84,XX,NL,9,3.0,EMAP_Raw
85,XX,NO,7,0.0,EMAP_Raw
86,AL,IT,1,1.0,IGG
87,AT,SI,1,1.0,IGG
88,BE,BY,2,2.0,IGG
89,BE,DE,1,1.0,IGG
90,BE,FR,3,3.0,IGG
91,BE,GB,1,1.0,IGG
92,BE,NL,1,1.0,IGG
93,BG,MK,1,1.0,IGG
94,BG,RO,1,1.0,IGG
95,BG,TR,1,1.0,IGG
96,BY,BE,1,1.0,IGG
97,CH,DE,1,1.0,IGG
98,CH,FR,1,1.0,IGG
99,CH,IT,1,1.0,IGG
100,CZ,DE,1,1.0,IGG
101,CZ,PL,1,1.0,IGG
102,CZ,SI,1,1.0,IGG
103,DE,AT,3,3.0,IGG
104,DE,BE,1,1.0,IGG
105,DE,CH,1,1.0,IGG
106,DE,CZ,2,2.0,IGG
107,DE,DK,1,1.0,IGG
108,DE,FR,1,1.0,IGG
109,DE,LU,1,1.0,IGG
110,DE,NL,3,3.0,IGG
111,DE,NO,1,1.0,IGG
112,DE,PL,1,1.0,IGG
113,DK,SE,1,1.0,IGG
114,EE,XX,1,1.0,IGG
115,ES,FR,2,2.0,IGG
116,FI,EE,1,1.0,IGG
117,GB,IE,4,4.0,IGG
118,GB,NL,1,1.0,IGG
119,GR,BG,2,2.0,IGG
120,HR,SI,1,1.0,IGG
121,HU,AT,1,1.0,IGG
122,HU,HR,1,1.0,IGG
123,HU,RS,1,1.0,IGG
124,IE,GB,1,1.0,IGG
125,IT,AT,1,1.0,IGG
126,IT,IT ,4,4.0,IGG
127,IT ,IT,1,1.0,IGG
128,LT,LV,1,1.0,IGG
129,LT,PL,1,1.0,IGG
130,LV,EE,1,1.0,IGG
131,LV,LT,1,1.0,IGG
132,LV,RU,1,1.0,IGG
133,NL,BE,1,1.0,IGG
134,NL,DE,3,3.0,IGG
135,PL,BY,3,3.0,IGG
136,PL,DK,1,1.0,IGG
137,PL,PL ,4,4.0,IGG
138,PL,SI,1,1.0,IGG
139,PL ,DE,1,1.0,IGG
140,PL ,PL,4,4.0,IGG
141,PT,ES,2,2.0,IGG
142,RO,BG,1,1.0,IGG
143,RO,HU,1,1.0,IGG
144,RO,UA,2,2.0,IGG
145,RU,LT,1,1.0,IGG
146,SI,AT,2,2.0,IGG
147,SI,HU,1,1.0,IGG
148,SI,IT,1,1.0,IGG
149,UA,SI,1,1.0,IGG
150,XX,DE,2,2.0,IGG
151,AL,IT,1,1.0,INET_Filled
152,AT,SK,1,1.0,INET_Filled
153,BE,BY,2,2.0,INET_Filled
154,BE,DE,1,1.0,INET_Filled
155,BE,FR,3,3.0,INET_Filled
156,BE,GB,1,1.0,INET_Filled
157,BE,NL,1,1.0,INET_Filled
158,BG,MK,1,1.0,INET_Filled
159,BG,RO,1,1.0,INET_Filled
160,BG,TR,1,1.0,INET_Filled
161,BY,BE,1,1.0,INET_Filled
162,CH,DE,1,1.0,INET_Filled
163,CH,FR,1,1.0,INET_Filled
164,CH,IT,1,1.0,INET_Filled
165,CZ,DE,1,1.0,INET_Filled
166,CZ,PL,1,1.0,INET_Filled
167,CZ,SK,1,1.0,INET_Filled
168,DE,AT,3,3.0,INET_Filled
169,DE,BE,1,1.0,INET_Filled
170,DE,CH,1,1.0,INET_Filled
171,DE,CZ,2,2.0,INET_Filled
172,DE,DK,1,1.0,INET_Filled
173,DE,FR,1,1.0,INET_Filled
174,DE,LU,1,1.0,INET_Filled
175,DE,NL,3,3.0,INET_Filled
176,DE,NO,1,1.0,INET_Filled
177,DE,PL,1,1.0,INET_Filled
178,DK,SE,1,1.0,INET_Filled
179,EE,XX,1,1.0,INET_Filled
180,ES,FR,2,2.0,INET_Filled
181,FI,EE,1,1.0,INET_Filled
182,GB,IE,4,4.0,INET_Filled
183,GB,NL,1,1.0,INET_Filled
184,GR,BG,2,2.0,INET_Filled
185,HR,SK,1,1.0,INET_Filled
186,HU,AT,1,1.0,INET_Filled
187,HU,HR,1,1.0,INET_Filled
188,HU,RS,1,1.0,INET_Filled
189,IE,GB,1,1.0,INET_Filled
190,IT,AT,1,1.0,INET_Filled
191,LT,LV,1,1.0,INET_Filled
192,LT,PL,1,1.0,INET_Filled
193,LV,EE,1,1.0,INET_Filled
194,LV,LT,1,1.0,INET_Filled
195,LV,RU,1,1.0,INET_Filled
196,NL,BE,1,1.0,INET_Filled
197,NL,DE,3,3.0,INET_Filled
198,PL,BY,3,3.0,INET_Filled
199,PL,DE,1,1.0,INET_Filled
200,PL,DK,1,1.0,INET_Filled
201,PL,SK,1,1.0,INET_Filled
202,PT,ES,2,2.0,INET_Filled
203,RO,BG,1,1.0,INET_Filled
204,RO,HU,1,1.0,INET_Filled
205,RO,UA,2,2.0,INET_Filled
206,RU,LT,1,1.0,INET_Filled
207,SI,AT,1,1.0,INET_Filled
208,SI,IT,1,1.0,INET_Filled
209,SK,AT,1,1.0,INET_Filled
210,SK,SI,2,2.0,INET_Filled
211,SK,SK ,1,1.0,INET_Filled
212,SK ,HU,1,1.0,INET_Filled
213,SK ,SK,1,1.0,INET_Filled
214,UA,SK,1,1.0,INET_Filled
215,XX,DE,2,2.0,INET_Filled
216,AL,IT,1,1.0,INET_Raw
217,AT,SK,1,0.0,INET_Raw
218,BE,BY,2,0.0,INET_Raw
219,BE,DE,1,0.0,INET_Raw
220,BE,FR,3,1.0,INET_Raw
221,BE,GB,1,1.0,INET_Raw
222,BE,NL,1,0.0,INET_Raw
223,BG,MK,1,0.0,INET_Raw
224,BG,RO,1,0.0,INET_Raw
225,BG,TR,1,0.0,INET_Raw
226,BY,BE,1,0.0,INET_Raw
227,CH,DE,1,0.0,INET_Raw
228,CH,FR,1,0.0,INET_Raw
229,CH,IT,1,0.0,INET_Raw
230,CZ,DE,1,0.0,INET_Raw
231,CZ,PL,1,1.0,INET_Raw
232,CZ,SK,1,0.0,INET_Raw
233,DE,AT,3,1.0,INET_Raw
234,DE,BE,1,1.0,INET_Raw
235,DE,CH,1,0.0,INET_Raw
236,DE,CZ,2,1.0,INET_Raw
237,DE,DK,1,1.0,INET_Raw
238,DE,FR,1,0.0,INET_Raw
239,DE,LU,1,0.0,INET_Raw
240,DE,NL,3,1.0,INET_Raw
241,DE,NO,1,1.0,INET_Raw
242,DE,PL,1,1.0,INET_Raw
243,DK,SE,1,0.0,INET_Raw
244,EE,XX,1,0.0,INET_Raw
245,ES,FR,2,0.0,INET_Raw
246,FI,EE,1,1.0,INET_Raw
247,GB,IE,4,3.0,INET_Raw
248,GB,NL,1,1.0,INET_Raw
249,GR,BG,2,1.0,INET_Raw
250,HR,SK,1,0.0,INET_Raw
251,HU,AT,1,0.0,INET_Raw
252,HU,HR,1,0.0,INET_Raw
253,HU,RS,1,0.0,INET_Raw
254,IE,GB,1,1.0,INET_Raw
255,IT,AT,1,0.0,INET_Raw
256,LT,LV,1,0.0,INET_Raw
257,LT,PL,1,1.0,INET_Raw
258,LV,EE,1,0.0,INET_Raw
259,LV,LT,1,1.0,INET_Raw
260,LV,RU,1,0.0,INET_Raw
261,NL,BE,1,0.0,INET_Raw
262,NL,DE,3,0.0,INET_Raw
263,PL,BY,3,1.0,INET_Raw
264,PL,DE,1,1.0,INET_Raw
265,PL,DK,1,1.0,INET_Raw
266,PL,SK,1,1.0,INET_Raw
267,PT,ES,2,0.0,INET_Raw
268,RO,BG,1,1.0,INET_Raw
269,RO,HU,1,1.0,INET_Raw
270,RO,UA,2,0.0,INET_Raw
271,RU,LT,1,0.0,INET_Raw
272,SI,AT,1,0.0,INET_Raw
273,SI,IT,1,0.0,INET_Raw
274,SK,AT,1,0.0,INET_Raw
275,SK,SI,2,0.0,INET_Raw
276,SK,SK ,1,0.0,INET_Raw
277,SK ,HU,1,0.0,INET_Raw
278,SK ,SK,1,0.0,INET_Raw
279,UA,SK,1,1.0,INET_Raw
280,XX,DE,2,1.0,INET_Raw
281,AT,DE,2,1.0,LKD_Raw
282,BE,BG,1,0.0,LKD_Raw
283,BG,BE,1,0.0,LKD_Raw
284,DE,AT,4,0.0,LKD_Raw
285,DE,BE,3,0.0,LKD_Raw
286,DE,CH,5,2.0,LKD_Raw
287,DE,DK,1,0.0,LKD_Raw
288,DE,FR,2,0.0,LKD_Raw
289,DE,LU,1,0.0,LKD_Raw
290,DE,NL,4,0.0,LKD_Raw
291,DE,NO,2,0.0,LKD_Raw
292,DE,PL,3,0.0,LKD_Raw
293,DE,XX,2,0.0,LKD_Raw
294,NL,DE,3,0.0,LKD_Raw
295,PL,DE,1,0.0,LKD_Raw
296,XX,DE,2,0.0,LKD_Raw
297,GB,NO,1,1.0,NO_Raw
298,NO,BE,1,0.0,NO_Raw
299,NO,DE,3,0.0,NO_Raw
300,NO,FR,1,1.0,NO_Raw
301,NO,GB,1,1.0,NO_Raw
